,context,id,identifier,image,note,reading,sign,tablet
6100,A-šú,6282,3fee85a6-a2a4-4d42-9d88-12a86e367b56,glyph_img/3fee85a6-a2a4-4d42-9d88-12a86e367b56.png,,A,107,345
6101,šá,6281,f05f07c0-413f-4626-855b-e5500a3d36a7,glyph_img/f05f07c0-413f-4626-855b-e5500a3d36a7.png,,šá,11,345
6102,šá,6280,7897b860-0a78-45fa-847f-4b95edb09b3c,glyph_img/7897b860-0a78-45fa-847f-4b95edb09b3c.png,,šá,11,345
6103,I.d+EN-BA-šá,6279,086b3867-c016-4660-b5bd-6c6ae15d4adc,glyph_img/086b3867-c016-4660-b5bd-6c6ae15d4adc.png,PN,šá,11,345
6104,I.d+EN-BA-šá,6278,f48e78e5-7200-4635-937a-02de2d863b45,glyph_img/f48e78e5-7200-4635-937a-02de2d863b45.png,PN,BA,182,345
6105,ŠE.BAR,6277,0fb62b79-7ce2-4918-a9fa-e7f9257d621a,glyph_img/0fb62b79-7ce2-4918-a9fa-e7f9257d621a.png,,BAR,1,345
6106,ŠE.BAR,6276,e1766fd1-95c5-4075-89af-037908826474,glyph_img/e1766fd1-95c5-4075-89af-037908826474.png,,ŠE,95,345
6107,ma-ši-ḫu,6275,21a8b16b-ece1-401c-bf64-66221f0f7fbd,glyph_img/21a8b16b-ece1-401c-bf64-66221f0f7fbd.png,,ḫu,170,345
6108,ma-ši-ḫu,6274,e9ad0c0b-0d30-4d2c-bd02-92553ada05fb,glyph_img/e9ad0c0b-0d30-4d2c-bd02-92553ada05fb.png,,ši,190,345
6109,ma-ši-ḫu,6273,f092b925-31df-4f40-a210-358bd10074c1,glyph_img/f092b925-31df-4f40-a210-358bd10074c1.png,,ma,133,345
6110,ITI.NE,6272,3d557d40-0512-4976-83aa-5d4c78c08eaa,glyph_img/3d557d40-0512-4976-83aa-5d4c78c08eaa.png,MN,NE,160,345
6111,TIN.TIR.KI,6271,a97dee75-b789-4b6d-ac29-925a5552f340,glyph_img/a97dee75-b789-4b6d-ac29-925a5552f340.png,GN,KI,193,345
6112,TIN.TIR.KI,6270,17d062ec-d54a-46ae-85e5-f78e9a9e3cca,glyph_img/17d062ec-d54a-46ae-85e5-f78e9a9e3cca.png,GN,TIR,85,345
6113,MU,6269,a756b932-9a58-4385-99e3-66bddb0b1937,glyph_img/a756b932-9a58-4385-99e3-66bddb0b1937.png,,MU,174,345
6114,KAŠ ŠE.BAR,6268,54252838-4862-4268-bb34-64b924b6e21e,glyph_img/54252838-4862-4268-bb34-64b924b6e21e.png,,BAR,1,344
6115,I.ÌR-ía,6267,3b15f655-d25a-4a51-96c1-9415b093070d,glyph_img/3b15f655-d25a-4a51-96c1-9415b093070d.png,PN,ÌR,227,344
6116,I.d+AG-GIN-A,6266,37532fb6-08cb-4541-8568-fb490aa05862,glyph_img/37532fb6-08cb-4541-8568-fb490aa05862.png,PN,GIN,163,344
6117,LÚ.PA,6265,f25cda47-4529-4e52-ab14-f5090f15a479,glyph_img/f25cda47-4529-4e52-ab14-f5090f15a479.png,,PA,14,344
6118,LÚ.PA,6264,46d3a877-0fa1-46b1-ac63-77013a33a8a2,glyph_img/46d3a877-0fa1-46b1-ac63-77013a33a8a2.png,,LÚ,128,344
6119,I.d+AG-bul-liṭ-<su>,6263,6cf7c173-e1c6-4555-9867-dcf2d1cd49df,glyph_img/6cf7c173-e1c6-4555-9867-dcf2d1cd49df.png,PN,liṭ,82,344
6120,šu-ul-lu-un-du,6262,3de2af1d-64b7-4102-b2b2-2b632933559d,glyph_img/3de2af1d-64b7-4102-b2b2-2b632933559d.png,,du,163,344
6121,šu-ul-lu-un-du,6261,d0138fe0-7583-4abb-b758-f681a2d5ee91,glyph_img/d0138fe0-7583-4abb-b758-f681a2d5ee91.png,,un,121,344
6122,šu-ul-lu-un-du,6260,52719a33-d535-42e2-b14b-3e4f2bf22499,glyph_img/52719a33-d535-42e2-b14b-3e4f2bf22499.png,,lu,114,344
6123,šu-ul-lu-un-du,6259,ff7bdf99-4fd8-43ad-998d-0dfbdd2abda9,glyph_img/ff7bdf99-4fd8-43ad-998d-0dfbdd2abda9.png,,ul,189,344
6124,šu-ul-lu-un-du,6258,ad2b69cd-b78e-402a-942c-04c16f27b506,glyph_img/ad2b69cd-b78e-402a-942c-04c16f27b506.png,first stroke of following UL visible on photo,šu,135,344
6125,a-lit-tu4,6257,ad71597a-2d0e-480a-b5be-9ec293bc5242,glyph_img/ad71597a-2d0e-480a-b5be-9ec293bc5242.png,,lit,82,343
6126,re-'i-i-tu4,6256,8570dd89-8674-4536-b6b5-36330053a2ae,glyph_img/8570dd89-8674-4536-b6b5-36330053a2ae.png,,i,142,343
