,context,id,identifier,image,note,reading,sign,tablet
0,I.d.UTU-DÙ,12517,85d4c286-2e08-4b3d-a52e-3766c3d3de44__nbn-103,glyph_img/85d4c286-2e08-4b3d-a52e-3766c3d3de44__nbn-103.png,l.19 (PN),DÙ,74,656
1,I.ki-ne-nu-na-a-a,12516,e6dd5c27-0b57-44bb-9e77-f7acef6fef56__nbn-103,glyph_img/e6dd5c27-0b57-44bb-9e77-f7acef6fef56__nbn-103.png,l.18 (pn),ki,193,656
2,I.d+AG-di-i-ni-e-pu-uš,12515,331ccc3f-0d98-47d8-8a1b-b76d38e2abd0__nbn-103,glyph_img/331ccc3f-0d98-47d8-8a1b-b76d38e2abd0__nbn-103.png,l.17 (PN),pu,137,656
3,I.d+AG-di-i-ni-e-pu-uš,12514,58e39941-da1e-4e32-9fc7-3c5b9b8bc1df__nbn-103,glyph_img/58e39941-da1e-4e32-9fc7-3c5b9b8bc1df__nbn-103.png,l.17 (PN),ni,210,656
4,I.d+AG-di-i-ni-e-pu-uš,12513,44279c78-ec37-447b-af54-f17966f7b2d2__nbn-103,glyph_img/44279c78-ec37-447b-af54-f17966f7b2d2__nbn-103.png,l.17 (PN),di,192,656
5,I.d+AG-EN-šú-nu,12512,f7c9575c-0c7a-4e2d-8deb-0c8c58734374__nbn-103,glyph_img/f7c9575c-0c7a-4e2d-8deb-0c8c58734374__nbn-103.png,l.16 (pn),EN,233,656
6,LÚ.mu-kin-nu,12511,6f9f87b7-838c-4e01-ae8e-7956224fea23__nbn-103,glyph_img/6f9f87b7-838c-4e01-ae8e-7956224fea23__nbn-103.png,l.16,kin,86,656
7,LÚ.mu-kin-nu,12510,08602434-3887-48f7-819b-fdae7a2cfb20__nbn-103,glyph_img/08602434-3887-48f7-819b-fdae7a2cfb20__nbn-103.png,l.16,LÚ,128,656
8,pi-i,12509,ae5c1aab-8533-4688-9cd6-da8397b10cc5__nbn-103,glyph_img/ae5c1aab-8533-4688-9cd6-da8397b10cc5__nbn-103.png,l.8,pi,139,656
9,e-le-e-nu-ú,12508,c9a829ea-4b02-44e0-b13d-c0de33700e1a__nbn-103,glyph_img/c9a829ea-4b02-44e0-b13d-c0de33700e1a__nbn-103.png,l.5,ú,124,656
10,e-le-e-nu-ú,12507,3082b3cb-8dab-494f-ad4d-7e25c2175aa4__nbn-103,glyph_img/3082b3cb-8dab-494f-ad4d-7e25c2175aa4__nbn-103.png,l.5,le,175,656
11,i-nam-din-nu-'u,12506,75fccab3-2eb9-4c08-91f4-ea2796948127__nbn-103,glyph_img/75fccab3-2eb9-4c08-91f4-ea2796948127__nbn-103.png,l.4,nu,226,656
12,i-nam-din-nu-'u,12505,d8d3c428-d4a9-4263-9a73-166dd914349c__nbn-103,glyph_img/d8d3c428-d4a9-4263-9a73-166dd914349c__nbn-103.png,l.4,din,103,656
13,i-nam-din-nu-'u,12504,2d89a9f0-39c7-494d-8eb2-ac58a236d1a4__nbn-103,glyph_img/2d89a9f0-39c7-494d-8eb2-ac58a236d1a4__nbn-103.png,l.4,nam,169,656
14,i-nam-din-nu-'u,12503,5d147552-f1f3-435e-aaba-5734b731f37f__nbn-103,glyph_img/5d147552-f1f3-435e-aaba-5734b731f37f__nbn-103.png,l.4,i,155,656
15,UR5.RA-šú,12502,7461d14a-d7b5-438c-84a6-55cd6a6d9428__nbn-103,glyph_img/7461d14a-d7b5-438c-84a6-55cd6a6d9428__nbn-103.png,l.4,šú,113,656
16,UR5.RA-šú,12501,8b9ec86a-0dc6-4c60-a53a-609926137ec1__nbn-103,glyph_img/8b9ec86a-0dc6-4c60-a53a-609926137ec1__nbn-103.png,l.4,RA,127,656
17,UR5.RA,12500,257c8c20-99b4-4da1-ba80-e0a7b6418f61__nbn-103,glyph_img/257c8c20-99b4-4da1-ba80-e0a7b6418f61__nbn-103.png,l.4,UR5,185,656
18,ITI.DU6,12499,4349e1b6-52e7-498f-9898-838b34108d37__nbn-103,glyph_img/4349e1b6-52e7-498f-9898-838b34108d37__nbn-103.png,l.4 (MN),DU6,50,656
19,ITI.DU6,12498,f674be3b-8286-4ca7-bd62-e87a94b54f40__nbn-103,glyph_img/f674be3b-8286-4ca7-bd62-e87a94b54f40__nbn-103.png,l.4 (MN),ITI,177,656
20,DUMU.SAL-su,12497,b1de9f9e-00f5-4372-bb84-5fbfd8bf9051__nbn-103,glyph_img/b1de9f9e-00f5-4372-bb84-5fbfd8bf9051__nbn-103.png,l.3,DUMU,64,656
21,DUMU.SAL-su,12496,004e46d8-49c8-46eb-b825-23d9907628a7__nbn-103,glyph_img/004e46d8-49c8-46eb-b825-23d9907628a7__nbn-103.png,l.3,su,181,656
22,I.d.ba-ba6-e-ṭè-rat,12495,8e44d387-bd48-4158-adfe-944661b04e0b__nbn-103,glyph_img/8e44d387-bd48-4158-adfe-944661b04e0b__nbn-103.png,l.3 (fPN),rat,196,656
23,I.d.ba-ba6-e-ṭè-rat,12494,7efd0378-8e00-4f73-999d-d70fe9c8c1d8__nbn-103,glyph_img/7efd0378-8e00-4f73-999d-d70fe9c8c1d8__nbn-103.png,l.3 (fPN),ṭè,160,656
24,I.d.ba-ba6-e-ṭè-rat,12493,75e85f8f-73ff-4014-881b-4aebac2cf3fa__nbn-103,glyph_img/75e85f8f-73ff-4014-881b-4aebac2cf3fa__nbn-103.png,l.3 (fPN),e,119,656
25,PN ù PN,12492,d7859f07-dfa2-478b-83ff-6dd91eb4acbd__nbn-103,glyph_img/d7859f07-dfa2-478b-83ff-6dd91eb4acbd__nbn-103.png,l.3,ù,191,656
26,I.d+AG-A-MU,12491,4be597da-a12e-4629-a44c-9c2a60bc7ae9__nbn-103,glyph_img/4be597da-a12e-4629-a44c-9c2a60bc7ae9__nbn-103.png,l.2 (pn),d+AG,234,656
27,ina UGU,12490,c52d1a6f-e984-409b-9a63-52502c8232f7__nbn-103,glyph_img/c52d1a6f-e984-409b-9a63-52502c8232f7__nbn-103.png,l.2,UGU,187,656
28,I.ZÁLAG-d.30,12489,0c181712-df74-4a20-a58b-6ba975baf5d3__nbn-103,glyph_img/0c181712-df74-4a20-a58b-6ba975baf5d3__nbn-103.png,l.2 (pn),30,57,656
29,I.ZÁLAG-d.30,12488,e2191bc2-5e9c-4b8a-b74b-d726f1155890__nbn-103,glyph_img/e2191bc2-5e9c-4b8a-b74b-d726f1155890__nbn-103.png,l.2 (pn),ZÁLAG,140,656
30,I.BA-šá-a,12487,35bee701-6876-45bd-9532-e20916c25114__nbn-103,glyph_img/35bee701-6876-45bd-9532-e20916c25114__nbn-103.png,l.1 (pn),šá,11,656
31,I.BA-šá-a,12486,5edb4342-f83f-42b1-8809-748f63b4f4e9__nbn-103,glyph_img/5edb4342-f83f-42b1-8809-748f63b4f4e9__nbn-103.png,l.1 (pn),BA,182,656
32,I.MU-d.AMAR.UTU,12485,17ed112d-c894-4e5a-a490-bd2a75f7d80a__nbn-103,glyph_img/17ed112d-c894-4e5a-a490-bd2a75f7d80a__nbn-103.png,l.1 (pn),MU,174,656
33,KÙ.BABBAR,12484,138f8a16-f075-40c7-94c6-3dc1d61a9665__nbn-103,glyph_img/138f8a16-f075-40c7-94c6-3dc1d61a9665__nbn-103.png,l.1,BABBAR,138,656
34,KÙ.BABBAR,12483,e207962f-45ab-4e77-b28e-f6f68a11224c__nbn-103,glyph_img/e207962f-45ab-4e77-b28e-f6f68a11224c__nbn-103.png,l.1,KÙ,116,656
35,MA.NA,12482,3aa15b7a-e7e3-461d-863c-38e2768883f0__nbn-103,glyph_img/3aa15b7a-e7e3-461d-863c-38e2768883f0__nbn-103.png,l.1,NA,172,656
36,MA.NA,12481,3f0aeac3-0291-4e02-a0b1-b6d563158ca7__nbn-103,glyph_img/3f0aeac3-0291-4e02-a0b1-b6d563158ca7__nbn-103.png,l.1,MA,133,656
37,I.d.U.GUR-LUGAL-ÙRU,12480,2b750448-4fc9-4ac6-a61a-5c44b5a78829__ner-69,glyph_img/2b750448-4fc9-4ac6-a61a-5c44b5a78829__ner-69.png,l.17 (pn),ÙRU,129,655
38,I.d.U.GUR-LUGAL-ÙRU,12479,7e482fa6-fb2f-46a0-8f04-a924eac26f35__ner-69,glyph_img/7e482fa6-fb2f-46a0-8f04-a924eac26f35__ner-69.png,l.17 (pn),LUGAL,72,655
39,I.d.U.GUR-LUGAL-ÙRU,12478,fe499480-79c1-4988-a728-21791e149062__ner-69,glyph_img/fe499480-79c1-4988-a728-21791e149062__ner-69.png,l.17 (pn),GUR,147,655
40,I.d.U.GUR-LUGAL-ÙRU,12477,295a01d9-73b4-4d3f-a1a0-146f6391c393__ner-69,glyph_img/295a01d9-73b4-4d3f-a1a0-146f6391c393__ner-69.png,l.17 (pn),U,186,655
41,pu-ut,12476,8f3314a2-1866-40bb-8d09-d2f7fc6bc251__ner-69,glyph_img/8f3314a2-1866-40bb-8d09-d2f7fc6bc251__ner-69.png,l.8,ut,138,655
42,pu-ut,12475,9e00c19a-0ba4-49f0-9289-a32e57fed661__ner-69,glyph_img/9e00c19a-0ba4-49f0-9289-a32e57fed661__ner-69.png,l.8,pu,137,655
43,i-nam-din-nu-u',12474,5a94f185-6c91-43ea-a830-ebfa86c69c5a__ner-69,glyph_img/5a94f185-6c91-43ea-a830-ebfa86c69c5a__ner-69.png,l.7,u',142,655
44,i-nam-din-nu-u',12473,b4bb3747-052e-47fe-83f2-17272eb0c5cc__ner-69,glyph_img/b4bb3747-052e-47fe-83f2-17272eb0c5cc__ner-69.png,l.7,nu,226,655
45,i-nam-din-nu-u',12472,6b7588b9-ab92-44c4-bc44-f8fb8d30c653__ner-69,glyph_img/6b7588b9-ab92-44c4-bc44-f8fb8d30c653__ner-69.png,l.7,din,103,655
46,i-nam-din-nu-u',12471,b46e9efc-fbbd-410f-8df3-1c4982729c08__ner-69,glyph_img/b46e9efc-fbbd-410f-8df3-1c4982729c08__ner-69.png,l.7,nam,169,655
47,i-nam-din-nu-u',12470,edec4968-5331-49d3-b264-66248279d46a__ner-69,glyph_img/edec4968-5331-49d3-b264-66248279d46a__ner-69.png,l.7,i,155,655
48,1 GÍN bit-qa,12469,756f7e22-270b-4f92-b3c7-70a212e9e14b__ner-69,glyph_img/756f7e22-270b-4f92-b3c7-70a212e9e14b__ner-69.png,l.6,qa,218,655
49,1 GÍN bit-qa,12468,e82b6793-35df-4dfd-a320-ad197338b066__ner-69,glyph_img/e82b6793-35df-4dfd-a320-ad197338b066__ner-69.png,l.6,bit,136,655
50,1 GÍN bit-qa,12467,784f3d8f-5f7b-44a1-959b-4588a1946227__ner-69,glyph_img/784f3d8f-5f7b-44a1-959b-4588a1946227__ner-69.png,l.6,GÍN,17,655
51,ITI.BÁR,12466,f748ebfb-3064-41c1-859d-2f658eda3672__ner-69,glyph_img/f748ebfb-3064-41c1-859d-2f658eda3672__ner-69.png,l.6 (MN),BÁR,84,655
52,I.IGI-ni-ia,12465,b6f36f13-c3c4-4cc7-81d5-6395efc9fc27__ner-69,glyph_img/b6f36f13-c3c4-4cc7-81d5-6395efc9fc27__ner-69.png,l.5 (pn),ia,222,655
53,I.IGI-ni-ia,12464,0fc00854-c326-42b4-bb75-9cf28b37913f__ner-69,glyph_img/0fc00854-c326-42b4-bb75-9cf28b37913f__ner-69.png,l.5 (pn),ni,210,655
54,I.IGI-ni-ia,12463,a0e707ac-783e-440f-85df-f177c8acf0ce__ner-69,glyph_img/a0e707ac-783e-440f-85df-f177c8acf0ce__ner-69.png,l.5 (pn),IGI,190,655
55,A-šú šá,12462,602135c8-0c42-4ffa-8a31-4f5f3585ffca__ner-69,glyph_img/602135c8-0c42-4ffa-8a31-4f5f3585ffca__ner-69.png,l.5,šú,113,655
56,I.d+AG-GI,12461,21b34779-cec2-4bc4-89ce-9be9c7e14783__ner-69,glyph_img/21b34779-cec2-4bc4-89ce-9be9c7e14783__ner-69.png,l.5 (pn),GI,98,655
57,I.na-ba-a-a,12460,4a8b479b-4a78-440b-b849-aacb7ccd0ed0__ner-69,glyph_img/4a8b479b-4a78-440b-b849-aacb7ccd0ed0__ner-69.png,l.4 (pn),a,107,655
58,I.na-ba-a-a,12459,05d113f2-7b2a-475d-8147-708a9622bdcd__ner-69,glyph_img/05d113f2-7b2a-475d-8147-708a9622bdcd__ner-69.png,l.4 (pn),ba,182,655
59,I.na-ba-a-a,12458,68f60389-937d-4eaf-a623-fccb9adebe6d__ner-69,glyph_img/68f60389-937d-4eaf-a623-fccb9adebe6d__ner-69.png,l.4 (pn),na,172,655
60,I.NUMUN-ia,12457,47e438cb-8c44-4ddc-be88-c30138b11b1c__ner-69,glyph_img/47e438cb-8c44-4ddc-be88-c30138b11b1c__ner-69.png,l.4 (pn),ia,222,655
61,I.NUMUN-ia,12456,32c23249-f772-4cb7-9f15-65a47325456a__ner-69,glyph_img/32c23249-f772-4cb7-9f15-65a47325456a__ner-69.png,l.4 (pn),NUMUN,223,655
62,I.d.DI.KU5-MU-MU,12455,91dc5e58-4fd3-4ad3-a57f-25f68c3ce9b4__ner-69,glyph_img/91dc5e58-4fd3-4ad3-a57f-25f68c3ce9b4__ner-69.png,l.3 (pn),MU,174,655
63,I.d.DI.KU5-MU-MU,12454,f15bb64a-0080-40f5-8243-dcb0c13f5117__ner-69,glyph_img/f15bb64a-0080-40f5-8243-dcb0c13f5117__ner-69.png,l.3 (pn),DI,192,655
64,mun-hi,12453,47bb9387-de1f-403c-8db3-ced533e0c9e6__ner-69,glyph_img/47bb9387-de1f-403c-8db3-ced533e0c9e6__ner-69.png,l.3,hi,141,655
65,muh-hi,12452,fcf9cc8e-8e9b-4fe8-9189-d0abf679c3a0__ner-69,glyph_img/fcf9cc8e-8e9b-4fe8-9189-d0abf679c3a0__ner-69.png,l.3,muh,187,655
66,I.ŠEŠ-<it>-tab-ši,12451,bca86daf-57bf-4d93-8af2-6dc0c89d4a2a__ner-69,glyph_img/bca86daf-57bf-4d93-8af2-6dc0c89d4a2a__ner-69.png,l.2 (pn),ši,190,655
67,I.ŠEŠ-<it>-tab-ši,12450,8472b0e9-9c1e-4417-9bef-b135c2426b82__ner-69,glyph_img/8472b0e9-9c1e-4417-9bef-b135c2426b82__ner-69.png,l.2 (pn),tab,87,655
68,I.ŠEŠ-<it>-tab-ši,12449,7effe782-c7d2-4dce-bf3e-8c47b2d6c9b8__ner-69,glyph_img/7effe782-c7d2-4dce-bf3e-8c47b2d6c9b8__ner-69.png,l.2 (pn),ŠEŠ,129,655
69,I.d+AG-ŠEŠ.MEŠ-MU,12448,85a4e6f5-1e1a-473c-891a-9aa76303624f__ner-43,glyph_img/85a4e6f5-1e1a-473c-891a-9aa76303624f__ner-43.png,l.18 (pn),MEŠ,115,654
70,I.d+AG-ŠEŠ.MEŠ-MU,12447,cfd6e7e7-a626-41f9-aff3-a2b553b64c4a__ner-43,glyph_img/cfd6e7e7-a626-41f9-aff3-a2b553b64c4a__ner-43.png,l.18 (pn),ŠEŠ,129,654
71,I.mu-še-zib,12446,046dc6bc-2269-4c99-83ef-942e9f190213__ner-43,glyph_img/046dc6bc-2269-4c99-83ef-942e9f190213__ner-43.png,l.18 (pn),mu,174,654
72,I.mu-še-zib,12445,67f43620-617c-4ef0-9588-d8dcc399832c__ner-43,glyph_img/67f43620-617c-4ef0-9588-d8dcc399832c__ner-43.png,l.18 (pn),zib,88,654
73,I.ri-mut,12444,894b7d2d-8d71-4a41-bce8-c2cb79e87b7e__ner-43,glyph_img/894b7d2d-8d71-4a41-bce8-c2cb79e87b7e__ner-43.png,l.16 (pn),mut,205,654
74,I.ri-mut,12443,8685884d-9929-4d50-bad5-2a0f1636e868__ner-43,glyph_img/8685884d-9929-4d50-bad5-2a0f1636e868__ner-43.png,l.16 (pn),ri,167,654
75,šá-né-e,12442,92a205e9-9a61-492a-9916-ad9e4146d9d0__ner-43,glyph_img/92a205e9-9a61-492a-9916-ad9e4146d9d0__ner-43.png,l.14,e,119,654
76,na-šu-ú,12441,91772f1c-2a59-45bf-8291-d19d0e969b35__ner-43,glyph_img/91772f1c-2a59-45bf-8291-d19d0e969b35__ner-43.png,l.14,ú,124,654
77,ŠE.NUMUN,12440,680f5844-073b-477e-8dd6-9ce828c73d14__ner-43,glyph_img/680f5844-073b-477e-8dd6-9ce828c73d14__ner-43.png,l.5,NUMUN,223,654
78,ŠE.NUMUN,12439,3d1ed9aa-6d5d-4a05-a12f-667cc4a54291__ner-43,glyph_img/3d1ed9aa-6d5d-4a05-a12f-667cc4a54291__ner-43.png,l.5,ŠE,95,654
79,SUM-nu,12438,27db6864-98d9-4ad6-9919-a9e25675b66b__nbn-344,glyph_img/27db6864-98d9-4ad6-9919-a9e25675b66b__nbn-344.png,l.18,nu,226,653
80,SUM-nu,12437,8bbb4249-86e9-4854-8517-785c69d64bb1__nbn-344,glyph_img/8bbb4249-86e9-4854-8517-785c69d64bb1__nbn-344.png,l.18,SUM,78,653
81,GABA.RI,12436,3c541e19-2672-4cf4-a225-5908dd836465__nbn-344,glyph_img/3c541e19-2672-4cf4-a225-5908dd836465__nbn-344.png,l.17,GABA,21,653
82,ri-kis,12435,7ca156c9-ef57-42e8-811f-bcaf3545ad69__nbn-344,glyph_img/7ca156c9-ef57-42e8-811f-bcaf3545ad69__nbn-344.png,l.17,kis,79,653
83,ri-kis,12434,4bee3821-1cc0-42a9-aa3d-bf5c9630da35__nbn-344,glyph_img/4bee3821-1cc0-42a9-aa3d-bf5c9630da35__nbn-344.png,l.18,ri,167,653
84,LUGAL TIN.TIR.KI,12433,45b82448-2bc0-43d8-9390-d8dab7a4617c__nbn-344,glyph_img/45b82448-2bc0-43d8-9390-d8dab7a4617c__nbn-344.png,l.16,LUGAL,72,653
85,I.d+AG-I,12432,5af7006c-c475-48cd-95b4-287501d5d48b__nbn-344,glyph_img/5af7006c-c475-48cd-95b4-287501d5d48b__nbn-344.png,l.16 (pn),I,155,653
86,I.d+AG-I,12431,cfb5acb1-614a-4645-8156-4f4546ed2d9e__nbn-344,glyph_img/cfb5acb1-614a-4645-8156-4f4546ed2d9e__nbn-344.png,l.16 (pn),d+AG,234,653
87,MU.9.KAM,12430,17757f2f-3af2-45df-b829-68923bce62f0__nbn-344,glyph_img/17757f2f-3af2-45df-b829-68923bce62f0__nbn-344.png,l.16,KAM,97,653
88,ITI.ŠU,12429,ef7c1d94-f0d9-49db-bbb8-b1e9b9128e46__nbn-344,glyph_img/ef7c1d94-f0d9-49db-bbb8-b1e9b9128e46__nbn-344.png,l.15 (MN),ŠU,135,653
89,ITI.ŠU,12428,c7f0f9c9-cf68-4c03-8997-7d8945e17909__nbn-344,glyph_img/c7f0f9c9-cf68-4c03-8997-7d8945e17909__nbn-344.png,l.15 (MN),ITI,177,653
90,TIN.TIR.KI,12427,73ffbe0e-aceb-4aed-8c83-be061c260e09__nbn-344,glyph_img/73ffbe0e-aceb-4aed-8c83-be061c260e09__nbn-344.png,l.15 (GN),TIR,85,653
91,TIN.TIR.KI,12426,d43f15c4-fdf1-4216-acee-71d70656ef20__nbn-344,glyph_img/d43f15c4-fdf1-4216-acee-71d70656ef20__nbn-344.png,l.15 (GN),TIN,103,653
92,I.DA-d.AMAR.UTU,12425,02afcda1-f1e1-4a31-ad5f-9079b034cfd2__nbn-344,glyph_img/02afcda1-f1e1-4a31-ad5f-9079b034cfd2__nbn-344.png,l.15 (pn),AMAR,31,653
93,I.DA-d.AMAR.UTU,12424,9066f350-66c7-4a03-9ff8-3c91c734a981__nbn-344,glyph_img/9066f350-66c7-4a03-9ff8-3c91c734a981__nbn-344.png,l.15 (pn),DA,131,653
94,ZÚ.LUM.MA,12423,c46fc7f5-bb37-4cf0-98a6-b8bbcd383f9a__nbn-344,glyph_img/c46fc7f5-bb37-4cf0-98a6-b8bbcd383f9a__nbn-344.png,l.4,LUM,110,653
95,ZÚ.LUM.MA,12422,b1b4c7b7-36c5-4212-93be-f838cd48f231__nbn-344,glyph_img/b1b4c7b7-36c5-4212-93be-f838cd48f231__nbn-344.png,l.4,ZÚ,178,653
96,e-te-qu,12421,4c923051-29a6-4acb-855c-a7894da29b49__nbn-344,glyph_img/4c923051-29a6-4acb-855c-a7894da29b49__nbn-344.png,l.3,te,81,653
97,e-te-qu,12420,cb745ed9-1658-480f-9406-f7e2494a631f__nbn-344,glyph_img/cb745ed9-1658-480f-9406-f7e2494a631f__nbn-344.png,l.3,e,119,653
98,a-ki,12419,a7fddbba-bf59-4e50-af43-7108ad3c7023__nbn-344,glyph_img/a7fddbba-bf59-4e50-af43-7108ad3c7023__nbn-344.png,l.3,ki,193,653
99,I.NUMUN-ia,12418,f84d5fd5-096e-4c0b-8340-fcb63a3eb761__nbn-344,glyph_img/f84d5fd5-096e-4c0b-8340-fcb63a3eb761__nbn-344.png,l.3 (pn),ia,222,653
100,I.NUMUN-ia,12417,75bda464-4b9f-454c-9c0b-fc05512e2e77__nbn-344,glyph_img/75bda464-4b9f-454c-9c0b-fc05512e2e77__nbn-344.png,l.3 (pn),NUMUN,223,653
101,muh-hi,12416,ffc743d4-955a-4fbc-9c48-b239ca054805__nbn-344,glyph_img/ffc743d4-955a-4fbc-9c48-b239ca054805__nbn-344.png,l.2,ji,141,653
102,muh-hi,12415,257d025b-814d-480d-b480-1e90792a6273__nbn-344,glyph_img/257d025b-814d-480d-b480-1e90792a6273__nbn-344.png,l.2,muh,187,653
103,I. ZÁLAG-d.30,12414,8d1cc73f-5989-493e-bf54-5cf59df4ee2a__nbn-344,glyph_img/8d1cc73f-5989-493e-bf54-5cf59df4ee2a__nbn-344.png,l.2 (pn),30,57,653
104,I. ZÁLAG-d.30,12413,9000e35f-b560-4eda-ba9f-c568fd84e145__nbn-344,glyph_img/9000e35f-b560-4eda-ba9f-c568fd84e145__nbn-344.png,l.2 (pn),ZÁLAG,140,653
105,A PN,12412,b5f69320-31f1-40c2-98cc-4f113c803d19__nbn-344,glyph_img/b5f69320-31f1-40c2-98cc-4f113c803d19__nbn-344.png,l.2,A,107,653
106,KÙ.BABBAR,12411,66d28d4c-878e-4c5f-bde0-e2c9598779bd__nbn-344,glyph_img/66d28d4c-878e-4c5f-bde0-e2c9598779bd__nbn-344.png,l.1,BABBAR,138,653
107,KÙ.BABBAR,12410,eced241b-95e6-492d-bc35-430d30ff7721__nbn-344,glyph_img/eced241b-95e6-492d-bc35-430d30ff7721__nbn-344.png,l.1,KÙ,116,653
108,MA.NA,12409,3eb4078f-8f65-4353-aee3-0eef980d6bf2__nbn-344,glyph_img/3eb4078f-8f65-4353-aee3-0eef980d6bf2__nbn-344.png,l.1,NA,172,653
109,MA.NA,12408,3858f1c4-b5cb-47a1-9ec8-730a20988ed0__nbn-344,glyph_img/3858f1c4-b5cb-47a1-9ec8-730a20988ed0__nbn-344.png,l.1,MA,133,653
110,I.BA-šá-d.AMAR.UTU,12407,6b441a00-07d3-4cd6-b6b2-b87fdadc458c__nbn-443,glyph_img/6b441a00-07d3-4cd6-b6b2-b87fdadc458c__nbn-443.png,l.8 (pn),BA,182,652
111,A-šú šá,12406,7eac66fd-9468-4317-bcc4-40a26f5adcd4__nbn-443,glyph_img/7eac66fd-9468-4317-bcc4-40a26f5adcd4__nbn-443.png,l.7,šá,11,652
112,I.MU-d.AMAR.UTU,12405,abc4059f-7ad0-4049-afba-ed4c198ff9bd__nbn-443,glyph_img/abc4059f-7ad0-4049-afba-ed4c198ff9bd__nbn-443.png,l.7 (pn),UTU,138,652
113,I.MU-d.AMAR.UTU,12404,bf68f5dd-443d-4e5d-8c4d-24d3042610ba__nbn-443,glyph_img/bf68f5dd-443d-4e5d-8c4d-24d3042610ba__nbn-443.png,l.7 (pn),AMAR,31,652
114,I.MU-d.AMAR.UTU,12403,62a22646-e1c3-480e-920d-ec3fc9c27fd3__nbn-443,glyph_img/62a22646-e1c3-480e-920d-ec3fc9c27fd3__nbn-443.png,l.7 (pn),MU,174,652
115,LÚ.qal-la-šú,12402,65756122-5fa4-4d75-a640-e4ede69202f8__nbn-443,glyph_img/65756122-5fa4-4d75-a640-e4ede69202f8__nbn-443.png,l.6,šú,113,652
116,LÚ.qal-la-šú,12401,05b82464-4274-488d-b444-e6c172331fd3__nbn-443,glyph_img/05b82464-4274-488d-b444-e6c172331fd3__nbn-443.png,l.6,la,231,652
117,LÚ.qal-la-šú,12400,a5bfd665-b992-459e-861a-d344e0c7dc55__nbn-443,glyph_img/a5bfd665-b992-459e-861a-d344e0c7dc55__nbn-443.png,l.6,qal,73,652
118,LÚ.qal-la-šú,12399,dd1098b4-e637-46ae-bd98-b3b6a5593c80__nbn-443,glyph_img/dd1098b4-e637-46ae-bd98-b3b6a5593c80__nbn-443.png,l.6,LÚ,128,652
119,E.KI,12398,7bec18d5-da78-48f5-af33-e55679662ef6__nbn-820,glyph_img/7bec18d5-da78-48f5-af33-e55679662ef6__nbn-820.png,l.15 (GN),E,119,651
120,LUGAL E.KI,12397,5c8b349c-f7fb-4732-b3b4-ecd29fb32b5b__nbn-820,glyph_img/5c8b349c-f7fb-4732-b3b4-ecd29fb32b5b__nbn-820.png,l.15,LUGAL,72,651
121,d+AG-I,12396,58c98688-5a62-4148-9393-a623db2e2f1d__nbn-820,glyph_img/58c98688-5a62-4148-9393-a623db2e2f1d__nbn-820.png,l.15 (pn),I,155,651
122,ITI.ŠE,12395,75dd5d8f-c418-45bf-815b-8e7164e4973a__nbn-820,glyph_img/75dd5d8f-c418-45bf-815b-8e7164e4973a__nbn-820.png,l.14 (MN),ŠE,95,651
123,ITI.ŠE,12394,74f608ad-61c2-4f23-b439-159d7823e120__nbn-820,glyph_img/74f608ad-61c2-4f23-b439-159d7823e120__nbn-820.png,l.14 (MN),ITI,177,651
124,TIN.TIR.KI,12393,b9b8cb43-cfcc-4748-ab94-10c7fde85db0__nbn-820,glyph_img/b9b8cb43-cfcc-4748-ab94-10c7fde85db0__nbn-820.png,l.14 (GN),KI,193,651
125,I.d.U.GUR-TIN-iṭ,12392,68a3dd79-62b0-4354-8a9a-3586d3040edd__nbn-820,glyph_img/68a3dd79-62b0-4354-8a9a-3586d3040edd__nbn-820.png,l.13 (pn),iṭ,130,651
126,I.d.U.GUR-TIN-iṭ,12391,8e9a2e69-4a2a-4ade-a1f4-0da8256d4d56__nbn-820,glyph_img/8e9a2e69-4a2a-4ade-a1f4-0da8256d4d56__nbn-820.png,l.13 (pn),TIN,103,651
127,I.e-<gi>-bi,12390,527c5054-5a18-4001-995d-a1909b531952__nbn-820,glyph_img/527c5054-5a18-4001-995d-a1909b531952__nbn-820.png,l.12 (pn),bi,93,651
128,MU.14.KAM,12389,23f40552-c59d-4e36-a687-ac07e89d82c0__nbn-820,glyph_img/23f40552-c59d-4e36-a687-ac07e89d82c0__nbn-820.png,l.13,KAM,97,651
129,I.d+AG-DÙ-ŠEŠ,12388,c6cdb580-3e9a-4bb9-b61f-8e59229787c1__nbn-820,glyph_img/c6cdb580-3e9a-4bb9-b61f-8e59229787c1__nbn-820.png,l.12 (pn),d+AG,234,651
130,I.d+AG-DÙ-ŠEŠ,12387,85e6f0a3-0a2a-41fc-b4cd-90ea8fe77c86__nbn-820,glyph_img/85e6f0a3-0a2a-41fc-b4cd-90ea8fe77c86__nbn-820.png,l.12 (pn),DÙ,74,651
131,I.d.U.GUR-ŠEŠ-MU,12386,8ac0b7ba-66c5-4b62-939f-eef934ebe701__nbn-820,glyph_img/8ac0b7ba-66c5-4b62-939f-eef934ebe701__nbn-820.png,l.8 (pn),MU,174,651
132,I.d.U.GUR-ŠEŠ-MU,12385,a2f4fffe-77c0-4bbe-94e7-2ab165f500bc__nbn-820,glyph_img/a2f4fffe-77c0-4bbe-94e7-2ab165f500bc__nbn-820.png,l.8 (pn),ŠEŠ,129,651
